Time: 2026-03-21 04:00:01.716840, Current moisture: 12.0, Raw moisture: 40.473333333333336
Time: 2026-03-21 04:15:02.067006, Current moisture: 12.0, Raw moisture: 51.85333333333333
Time: 2026-03-21 04:30:01.362105, Current moisture: 12.0, Raw moisture: 51.88333333333333
Time: 2026-03-21 04:45:01.630199, Current moisture: 12.0, Raw moisture: 51.70666666666666
Time: 2026-03-21 05:00:01.912650, Current moisture: 12.0, Raw moisture: 55.95333333333333
Time: 2026-03-21 05:15:01.262511, Current moisture: 12.0, Raw moisture: 48.406666666666666
Time: 2026-03-21 05:30:01.565751, Current moisture: 12.0, Raw moisture: 44.596666666666664
Time: 2026-03-21 05:45:01.837172, Current moisture: 12.0, Raw moisture: 52.15
Time: 2026-03-21 06:00:02.117745, Current moisture: 12.0, Raw moisture: 32.38
Time: 2026-03-21 06:15:01.469185, Current moisture: 12.0, Raw moisture: 50.82333333333333
Time: 2026-03-21 06:30:01.816774, Current moisture: 12.0, Raw moisture: 58.64666666666667
Time: 2026-03-21 06:45:02.085847, Current moisture: 12.0, Raw moisture: 54.11666666666667
Time: 2026-03-21 07:00:01.367889, Current moisture: 12.0, Raw moisture: 42.346666666666664
Time: 2026-03-21 07:15:01.718268, Current moisture: 12.0, Raw moisture: 57.79333333333334
Time: 2026-03-21 07:30:02.014545, Current moisture: 12.0, Raw moisture: 51.68
Time: 2026-03-21 07:45:01.291440, Current moisture: 12.0, Raw moisture: 44.85666666666667
Time: 2026-03-21 08:00:01.565559, Current moisture: 12.0, Raw moisture: 49.29333333333334
Time: 2026-03-21 08:15:01.921351, Current moisture: 12.0, Raw moisture: 53.68333333333333
Time: 2026-03-21 08:30:01.212919, Current moisture: 12.0, Raw moisture: 49.27
Time: 2026-03-21 08:45:01.481581, Current moisture: 12.0, Raw moisture: 50.06333333333333
Time: 2026-03-21 09:00:01.758583, Current moisture: 12.0, Raw moisture: 30.803333333333335
Time: 2026-03-21 09:15:02.120425, Current moisture: 12.0, Raw moisture: 54.846666666666664
Time: 2026-03-21 09:30:01.418602, Current moisture: 12.0, Raw moisture: 56.46666666666667
Time: 2026-03-21 09:45:01.691727, Current moisture: 12.0, Raw moisture: 53.33
Time: 2026-03-21 10:00:01.976602, Current moisture: 12.0, Raw moisture: 57.78
Time: 2026-03-21 10:15:01.333650, Current moisture: 12.0, Raw moisture: 48.593333333333334
Time: 2026-03-21 10:30:01.635099, Current moisture: 12.0, Raw moisture: 50.84
Time: 2026-03-21 10:45:01.903232, Current moisture: 12.0, Raw moisture: 57.913333333333334
Time: 2026-03-21 11:00:01.184424, Current moisture: 12.0, Raw moisture: 48.79
Time: 2026-03-21 11:15:01.537174, Current moisture: 12.0, Raw moisture: 49.45333333333333
Time: 2026-03-21 11:30:01.834108, Current moisture: 12.0, Raw moisture: 44.7
Time: 2026-03-21 11:45:02.098150, Current moisture: 12.0, Raw moisture: 51.026666666666664
Time: 2026-03-21 12:00:01.376721, Current moisture: 12.0, Raw moisture: 40.20333333333333
Time: 2026-03-21 12:15:01.725405, Current moisture: 12.0, Raw moisture: 57.97
Time: 2026-03-21 12:30:02.026179, Current moisture: 12.0, Raw moisture: 50.02333333333333
Time: 2026-03-21 12:45:01.296909, Current moisture: 12.0, Raw moisture: 49.60666666666667
Time: 2026-03-21 13:00:01.578369, Current moisture: 12.0, Raw moisture: 53.89666666666667
Time: 2026-03-21 13:15:01.933769, Current moisture: 12.0, Raw moisture: 51.91
Time: 2026-03-21 13:30:01.231138, Current moisture: 12.0, Raw moisture: 55.333333333333336
Time: 2026-03-21 13:45:01.484791, Current moisture: 12.0, Raw moisture: 59.93666666666667
Time: 2026-03-21 14:00:01.755292, Current moisture: 12.0, Raw moisture: 57.61
Time: 2026-03-21 14:15:02.111732, Current moisture: 12.0, Raw moisture: 50.553333333333335
Time: 2026-03-21 14:30:01.406759, Current moisture: 12.0, Raw moisture: 45.16
Time: 2026-03-21 14:45:01.680108, Current moisture: 12.0, Raw moisture: 47.95333333333333
Time: 2026-03-21 15:00:01.964164, Current moisture: 12.0, Raw moisture: 26.81
Time: 2026-03-21 15:15:01.323034, Current moisture: 12.0, Raw moisture: 47.99
Time: 2026-03-21 15:30:01.620928, Current moisture: 12.0, Raw moisture: 56.666666666666664
Time: 2026-03-21 15:45:01.887319, Current moisture: 12.0, Raw moisture: 47.093333333333334
Time: 2026-03-21 16:00:02.171582, Current moisture: 12.0, Raw moisture: 25.606666666666666
